Nr.	Satz	erkannt	natuerlich
611  	11b03Wa.wav	100,00     	90,48     
612  	11b03Wb.wav	100,00     	85,71     
613  	12b03Ab.wav	90,48     	42,86     
614  	12b03Ea.wav	66,67     	9,52     
615  	12b03Fd.wav	38,10     	14,29     
616  	12b03La.wav	100,00     	80,95     
617  	12b03Nc.wav	66,67     	42,86     
618  	12b03Ta.wav	90,48     	52,38     
619  	12b03Wd.wav	85,71     	42,86     
620  	13b03Ac.wav	95,24     	76,19     
621  	13b03Ed.wav	85,71     	66,67     
622  	13b03Fd.wav	100,00     	66,67     
623  	13b03Lb.wav	100,00     	90,48     
624  	13b03Na.wav	90,48     	90,48     
625  	13b03Td.wav	95,24     	90,48     
626  	13b03Wc.wav	95,24     	80,95     
627  	14b03Ad.wav	100,00     	85,71     
628  	14b03Ed.wav	95,24     	90,48     
629  	14b03Fb.wav	76,19     	52,38     
630  	14b03Lb.wav	100,00     	95,24     
631  	14b03Na.wav	76,19     	61,90     
632  	14b03Nb.wav	61,90     	47,62     
633  	14b03Ta.wav	80,95     	71,43     
634  	14b03Wb.wav	100,00     	90,48     
635  	15b03Aa.wav	90,48     	61,90     
636  	15b03Ab.wav	57,14     	23,81     
637  	15b03Eb.wav	90,48     	52,38     
638  	15b03Fc.wav	76,19     	52,38     
639  	15b03La.wav	76,19     	76,19     
640  	15b03Lc.wav	90,48     	80,95     
641  	15b03Nb.wav	95,24     	80,95     
642  	15b03Tc.wav	95,24     	61,90     
643  	15b03Wa.wav	100,00     	76,19     
644  	15b03Wb.wav	100,00     	85,71     
645  	16b03Ad.wav	90,48     	66,67     
646  	16b03Ea.wav	95,24     	76,19     
647  	16b03Fa.wav	95,24     	71,43     
648  	16b03Fd.wav	100,00     	85,71     
649  	16b03La.wav	95,24     	90,48     
650  	16b03Nb.wav	95,24     	80,95     
651  	16b03Ta.wav	80,95     	80,95     
652  	16b03Wb.wav	100,00     	80,95     
653  	03b09Aa.wav	55,00     	25,00     
654  	03b09Ec.wav	20,00     	5,00     
655  	03b09Fa.wav	90,00     	45,00     
656  	03b09La.wav	85,00     	65,00     
657  	03b09Nc.wav	95,00     	95,00     
658  	03b09Tc.wav	90,00     	85,00     
659  	03b09Wa.wav	95,00     	90,00     
660  	08b09Ab.wav	95,00     	70,00     
661  	08b09Ea.wav	20,00     	0,00     
662  	08b09Fd.wav	95,00     	65,00     
663  	08b09Lc.wav	100,00     	90,00     
664  	08b09Nb.wav	100,00     	85,00     
665  	08b09Tb.wav	95,00     	75,00     
666  	08b09Wa.wav	95,00     	90,00     
667  	08b09Wc.wav	100,00     	85,00     
668  	09b09Ab.wav	60,00     	25,00     
669  	09b09Ad.wav	80,00     	30,00     
670  	09b09Ea.wav	90,00     	60,00     
671  	09b09Fb.wav	60,00     	20,00     
672  	09b09Fd.wav	55,00     	25,00     
673  	09b09Lb.wav	40,00     	35,00     
674  	09b09Nd.wav	85,00     	75,00     
675  	09b09Tb.wav	60,00     	40,00     
676  	09b09Td.wav	75,00     	65,00     
677  	09b09Wa.wav	95,00     	75,00     
678  	10b09Ad.wav	95,00     	60,00     
679  	10b09Ae.wav	80,00     	45,00     
680  	10b09Ea.wav	85,00     	30,00     
681  	10b09Fe.wav	40,00     	25,00     
682  	10b09Lb.wav	100,00     	75,00     
683  	10b09Nb.wav	40,00     	25,00     
684  	10b09Ta.wav	90,00     	55,00     
685  	10b09Wb.wav	100,00     	95,00     
686  	11b09Ad.wav	90,00     	70,00     
687  	11b09Ea.wav	50,00     	35,00     
688  	11b09Fd.wav	95,00     	80,00     
689  	11b09Ld.wav	100,00     	85,00     
690  	11b09Na.wav	95,00     	90,00     
691  	11b09Td.wav	80,00     	75,00     
692  	11b09Wa.wav	90,00     	85,00     
693  	12b09Aa.wav	70,00     	40,00     
694  	12b09Ac.wav	85,00     	55,00     
695  	12b09Ea.wav	80,00     	35,00     
696  	12b09Fb.wav	70,00     	30,00     
697  	12b09Lb.wav	70,00     	55,00     
698  	12b09Lc.wav	95,00     	55,00     
699  	12b09Nc.wav	50,00     	35,00     
700  	12b09Td.wav	90,00     	55,00     
701  	12b09Wc.wav	95,00     	75,00     
702  	13b09Ab.wav	100,00     	65,00     
703  	13b09Ac.wav	100,00     	55,00     
704  	13b09Ec.wav	80,00     	55,00     
705  	13b09Fb.wav	100,00     	75,00     
706  	13b09Fc.wav	100,00     	80,00     
707  	13b09La.wav	80,00     	80,00     
708  	13b09Na.wav	90,00     	85,00     
709  	13b09Ta.wav	75,00     	60,00     
710  	13b09Wa.wav	95,00     	80,00     
711  	13b09Wc.wav	60,00     	55,00     
712  	14b09Ac.wav	100,00     	95,00     
713  	14b09Ea.wav	95,00     	75,00     
714  	14b09Fc.wav	90,00     	70,00     
715  	14b09Lb.wav	95,00     	80,00     
716  	14b09Nb.wav	75,00     	65,00     
717  	14b09Tb.wav	95,00     	80,00     
718  	14b09Td.wav	95,00     	95,00     
719  	14b09Wa.wav	90,00     	70,00     
720  	14b09Wc.wav	95,00     	95,00     
721  	15b09Ac.wav	95,00     	85,00     
722  	15b09Eb.wav	100,00     	55,00     
723  	15b09Fa.wav	85,00     	60,00     
724  	15b09La.wav	90,00     	75,00     
725  	15b09Nb.wav	95,00     	85,00     
726  	15b09Ta.wav	100,00     	70,00     
727  	15b09Wb.wav	100,00     	80,00     
728  	16b09Ab.wav	80,00     	45,00     
729  	16b09Eb.wav	95,00     	80,00     
730  	16b09Fb.wav	85,00     	70,00     
731  	16b09La.wav	90,00     	60,00     
732  	16b09Lb.wav	100,00     	80,00     
733  	16b09Nb.wav	70,00     	60,00     
734  	16b09Tc.wav	75,00     	65,00     
735  	16b09Wb.wav	100,00     	90,00     
736  	03b10Ab.wav	95,00     	60,00     
737  	03b10Ea.wav	60,00     	30,00     
738  	03b10Ec.wav	90,00     	55,00     
739  	03b10Fa.wav	50,00     	30,00     
740  	03b10La.wav	75,00     	60,00     
741  	03b10Na.wav	100,00     	90,00     
742  	03b10Nc.wav	80,00     	80,00     
743  	03b10Td.wav	70,00     	45,00     
744  	03b10Wb.wav	95,00     	90,00     
745  	03b10Wc.wav	100,00     	90,00     
746  	08b10Aa.wav	95,00     	60,00     
747  	08b10Eb.wav	65,00     	45,00     
748  	08b10Fd.wav	100,00     	80,00     
749  	08b10La.wav	95,00     	90,00     
750  	08b10Nc.wav	90,00     	75,00     
751  	08b10Tc.wav	100,00     	70,00     
752  	08b10Wa.wav	100,00     	75,00     
753  	09b10Aa.wav	85,00     	65,00     
754  	09b10Ea.wav	90,00     	45,00     
755  	09b10Fb.wav	55,00     	15,00     
756  	09b10La.wav	20,00     	20,00     
757  	09b10Nd.wav	95,00     	80,00     
758  	09b10Ta.wav	65,00     	45,00     
759  	09b10Wa.wav	100,00     	90,00     
760  	10b10Aa.wav	95,00     	50,00     
761  	10b10Eb.wav	65,00     	40,00     
762  	10b10Fc.wav	100,00     	80,00     
763  	10b10Lc.wav	85,00     	85,00     
764  	10b10Nb.wav	75,00     	70,00     
765  	10b10Tc.wav	55,00     	40,00     
766  	10b10Wa.wav	100,00     	100,00     
767  	11b10Ad.wav	95,00     	60,00     
768  	11b10Ae.wav	100,00     	65,00     
769  	11b10Eb.wav	75,00     	35,00     
770  	11b10Fa.wav	75,00     	50,00     
771  	11b10Ld.wav	80,00     	60,00     
772  	11b10Nc.wav	80,00     	75,00     
773  	11b10Td.wav	95,00     	80,00     
774  	11b10Wa.wav	95,00     	65,00     
775  	11b10Wb.wav	90,00     	50,00     
776  	12b10Ac.wav	85,00     	55,00     
777  	12b10Ed.wav	65,00     	30,00     
778  	12b10Fd.wav	70,00     	25,00     
779  	12b10Ld.wav	90,00     	70,00     
780  	12b10Nc.wav	70,00     	35,00     
781  	12b10Td.wav	60,00     	35,00     
782  	12b10Wa.wav	100,00     	75,00     
783  	13b10Aa.wav	70,00     	65,00     
784  	13b10Ac.wav	70,00     	25,00     
785  	13b10Ec.wav	80,00     	65,00     
786  	13b10Fa.wav	80,00     	70,00     
787  	13b10La.wav	90,00     	75,00     
788  	13b10Nc.wav	100,00     	100,00     
789  	13b10Ta.wav	75,00     	60,00     
790  	13b10Wa.wav	100,00     	85,00     
791  	13b10Wc.wav	95,00     	85,00     
792  	14b10Ad.wav	85,00     	60,00     
793  	14b10Eb.wav	85,00     	70,00     
794  	14b10Fa.wav	70,00     	45,00     
795  	14b10Lb.wav	95,00     	85,00     
796  	14b10Nb.wav	95,00     	70,00     
797  	14b10Tc.wav	90,00     	80,00     
798  	14b10Wc.wav	100,00     	100,00     
799  	15b10Ab.wav	70,00     	35,00     
800  	15b10Ac.wav	95,00     	70,00     
801  	15b10Eb.wav	70,00     	50,00     
802  	15b10Fb.wav	50,00     	30,00     
803  	15b10Lc.wav	85,00     	80,00     
804  	15b10Nb.wav	100,00     	80,00     
805  	15b10Nc.wav	100,00     	100,00     
806  	15b10Ta.wav	90,00     	45,00     
807  	15b10Wa.wav	95,00     	60,00     
808  	16b10Aa.wav	100,00     	90,00     
809  	16b10Eb.wav	80,00     	55,00     
810  	16b10Fb.wav	85,00     	70,00     
811  	16b10Lb.wav	100,00     	90,00     
812  	16b10Nb.wav	70,00     	65,00     
813  	16b10Tb.wav	90,00     	70,00     
814  	16b10Td.wav	95,00     	70,00     
815  	16b10Wa.wav	100,00     	100,00     
816  	16b10Wb.wav	100,00     	75,00   
